"lat","long","x","y"
-9.271944,-64.393611,-64.393611,-9.271944
-11.405306,-58.756833,-58.756833,-11.405306
-9,-69,-69,-9
-9,-68,-68,-9
-16.406812,-56.669916,-56.669916,-16.406812
-16.517758,-56.697429,-56.697429,-16.517758
-1.057472,-46.795333,-46.795333,-1.057472
-2.599722,-44.276111,-44.276111,-2.599722
-9.380556,-71.900278,-71.900278,-9.380556
-10.295022,-67.133622,-67.133622,-10.295022
-4.728333,-44.326944,-44.326944,-4.728333
-1.455556,-48.49,-48.49,-1.455556
-1.455833,-48.490278,-48.490278,-1.455833
-1.398889,-48.47,-48.47,-1.398889
-2.596389,-44.272778,-44.272778,-2.596389
-9.366111,-64.848611,-64.848611,-9.366111
-0.69,-61.47,-61.47,-0.69
-6.326111,-47.934444,-47.934444,-6.326111
-1.205556,-47.178056,-47.178056,-1.205556
-16.179444,-54.707778,-54.707778,-16.179444
-11.855278,-55.505833,-55.505833,-11.855278
-11.859444,-55.497778,-55.497778,-11.859444
-9.539722,-64.831389,-64.831389,-9.539722
-5.6625,-47.625278,-47.625278,-5.6625
-9.539722,-64.831388,-64.831388,-9.539722
-9.638692,-50.613722,-50.613722,-9.638692
-0.928333,-46.670833,-46.670833,-0.928333
-12.905278,-46.547222,-46.547222,-12.905278
-16.757908,-56.87668,-56.87668,-16.757908
-14.36843,-55.624559,-55.624559,-14.36843
-16.378801,-56.621429,-56.621429,-16.378801
-10.4,-48.359444,-48.359444,-10.4
-2.9245,-59.974556,-59.974556,-2.9245
-17.610833,-53.261389,-53.261389,-17.610833
-7.601944,-47.3275,-47.3275,-7.601944
-2.924444,-59.974444,-59.974444,-2.924444
-7.142222,-47.754444,-47.754444,-7.142222
-7.296944,-47.713055,-47.713055,-7.296944
-7.353055,-47.485,-47.485,-7.353055
-7.353056,-47.485,-47.485,-7.353056
-7.296944,-47.713056,-47.713056,-7.296944
-13.148611,-48.22,-48.22,-13.148611
-4.205556,-62.1,-62.1,-4.205556
-9.665833,-55.214444,-55.214444,-9.665833
-9.67,-55.21,-55.21,-9.67
-1.848417,-61.59,-61.59,-1.848417
-4.891389,-65.302778,-65.302778,-4.891389
-2.640833,-44.726944,-44.726944,-2.640833
-9.078889,-55.438333,-55.438333,-9.078889
-9.679167,-55.438889,-55.438889,-9.679167
1.40508,-68.1704,-68.1704,1.40508
-15.835056,-56.038694,-56.038694,-15.835056
-8.438055,-47.834444,-47.834444,-8.438055
1.40508,-68.17044,-68.17044,1.40508
1.405,-68.170556,-68.170556,1.405
-8.438056,-47.834444,-47.834444,-8.438056
1.405083,-68.170433,-68.170433,1.405083
-0.928389,-46.670944,-46.670944,-0.928389
-7.302222,-47.834444,-47.834444,-7.302222
-6.626667,-47.586111,-47.586111,-6.626667
-7.566389,-47.366666,-47.366666,-7.566389
-7.551667,-47.378888,-47.378888,-7.551667
-7.551667,-47.378889,-47.378889,-7.551667
-7.566389,-47.366667,-47.366667,-7.566389
-7.182494,-47.152619,-47.152619,-7.182494
-9.583333,-55.914722,-55.914722,-9.583333
-5.417778,-65.576389,-65.576389,-5.417778
-5.400833,-65.559167,-65.559167,-5.400833
-2.535833,-60.846944,-60.846944,-2.535833
-2.843056,-60.474167,-60.474167,-2.843056
-9.585833,-55.916667,-55.916667,-9.585833
-9.583611,-55.916667,-55.916667,-9.583611
-9.59,-55.92,-55.92,-9.59
-13.167222,-48.229444,-48.229444,-13.167222
-12.834166,-48.213888,-48.213888,-12.834166
-8.433611,-47.665556,-47.665556,-8.433611
-12.834167,-48.213889,-48.213889,-12.834167
-9.918889,-56.015556,-56.015556,-9.918889
-14.106111,-52.320278,-52.320278,-14.106111
-9.900833,-55.965556,-55.965556,-9.900833
-12.735555,-48.219722,-48.219722,-12.735555
-12.735556,-48.219722,-48.219722,-12.735556
-10.6387,-47.3482,-47.3482,-10.6387
-10.406667,-48.173056,-48.173056,-10.406667
-12.7975,-48.245833,-48.245833,-12.7975
-12.806111,-48.235277,-48.235277,-12.806111
-12.809166,-48.236388,-48.236388,-12.809166
-12.806111,-48.235278,-48.235278,-12.806111
-12.809167,-48.236389,-48.236389,-12.809167
-9.58,-55.914444,-55.914444,-9.58
-9.580278,-55.915,-55.915,-9.580278
-9.58,-55.91,-55.91,-9.58
-0.922028,-46.667444,-46.667444,-0.922028
-2.75,-42.799722,-42.799722,-2.75
-16.145556,-58.010694,-58.010694,-16.145556
-3.208056,-43.403333,-43.403333,-3.208056
-11.6025,-46.51722,-46.51722,-11.6025
-14.258667,-60.310194,-60.310194,-14.258667
-12.494444,-48.213611,-48.213611,-12.494444
-10.8339,-52.8731,-52.8731,-10.8339
-10.55,-46.133333,-46.133333,-10.55
-10.583056,-46.495,-46.495,-10.583056
-10.3725,-46.524444,-46.524444,-10.3725
-10.55,-46.65,-46.65,-10.55
-3.7313,-48.29063,-48.29063,-3.7313
-13.1,-53.383333,-53.383333,-13.1
-1.586111,-48.016111,-48.016111,-1.586111
-13.1,-56.38,-56.38,-13.1
-9.899941,-56.087464,-56.087464,-9.899941
-3.206944,-43.395278,-43.395278,-3.206944
-2.516944,-44.266389,-44.266389,-2.516944
-13.05,-51.11,-51.11,-13.05
0.15,-51.033333,-51.033333,0.15
-7.364444,-48.013333,-48.013333,-7.364444
-7.196389,-48.449444,-48.449444,-7.196389
-7.051389,-48.111667,-48.111667,-7.051389
-7.084444,-45.141111,-45.141111,-7.084444
-7.343055,-47.523889,-47.523889,-7.343055
-7.437778,-46.338889,-46.338889,-7.437778
-7.355833,-45.065833,-45.065833,-7.355833
-6.639167,-44.15,-44.15,-6.639167
-12.666667,-46.5,-46.5,-12.666667
-14.72,-52.36,-52.36,-14.72
-10.150833,-48.230833,-48.230833,-10.150833
-9.874167,-48.374167,-48.374167,-9.874167
-12.65,-47.1,-47.1,-12.65
-1.455,-49.004722,-49.004722,-1.455
